Abbreviation,PubTitle,CODEN
ACS Agric. Sci. Technol.,ACS Agricultural Science & Technology,AASTGJ
ACS Appl. Bio Mater.,ACS Applied Bio Materials,AABMCB
ACS Appl. Electron. Mater.,ACS Applied Electronic Materials,AAEMBP
ACS Appl. Energy Mater.,ACS Applied Energy Materials,AAEMCQ
ACS Appl. Mater. Interfaces,ACS Applied Materials & Interfaces,AAMICK
ACS Appl. Nano Mater.,ACS Applied Nano Materials,AANMF6
ACS Appl. Polym. Mater.,ACS Applied Polymer Materials,AAPMCD
ACS Bio Med Chem Au,ACS Bio & Med Chem Au,"	ABMCB8"
ACS Biomater. Sci. Eng.,ACS Biomaterials Science & Engineering,ABSEBA
ACS Catal.,ACS Catalysis,ACCACS
ACS Cent. Sci.,ACS Central Science,ACSCII
ACS Chem. Biol.,ACS Chemical Biology,ACBCCT
ACS Chem. Health Saf.,ACS Chemical Health & Safety,ACHSC5
ACS Chem. Neurosci.,ACS Chemical Neuroscience,ACNCDM
ACS Comb. Sci.,ACS Combinatorial Science,ACSCCC
ACS Earth Space Chem.,ACS Earth and Space Chemistry,AESCCQ
ACS Energy Lett.,ACS Energy Letters,AELCCP
ACS Eng. Au,ACS Engineering Au,AEACB3
ACS Environ. Au,ACS Environmental Au,AEACC4
ACS ES&T Engg,ACS ES&T Engineering,AEECCO
ACS ES&T Water,ACS ES&T Water,AEWCAA
ACS Food Sci. Technol.,ACS Food Science & Technology,AFSTHL
ACS Infect. Dis.,ACS Infectious Diseases,AIDCBC
ACS Macro Lett.,ACS Macro Letters,AMLCCD
ACS Mater. Au,ACS Materials Au,AMACGU
ACS Mater. Lett.,ACS Materials Letters,AMLCEF
ACS Meas. Sci. Au,ACS Measurement Science Au,AMACHV
ACS Med. Chem. Lett.,ACS Medicinal Chemistry Letters,AMCLCT
ACS Nano,ACS Nano,ANCAC3
ACS Nanosci. Au,ACS Nanoscience Au,ANACCX
ACS Omega,ACS Omega,ACSODF
ACS Org. Inorg. Au,ACS Organic & Inorganic Au,AOIAB5
ACS Pharmacol. Transl. Sci.,ACS Pharmacology & Translational Science,APTSFN
ACS Photonics,ACS Photonics,APCHD5
ACS Phys. Chem. Au,ACS Physical Chemistry Au,APCACH
